loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
Căn hộ chung cư,"Chủ kẹt tiền Bán nhanh Căn FLC Sea Tower View Biển 1,45 tỷ,","1,45 tỷ",45 m²,,,8 tầng,1 PN,1 WC,,Thành phố Quy Nhơn,Đường An Dương Vương,https://alonhadat.com.vn/chu-ket-tien-ban-nhanh-can-flc-sea-tower-view-bien-1-4x-ty-so-lau-dai-12239343.html
Nhà mặt tiền,"Bán Nhà 3 Mê Mặt Tiền Giá 3 Tỷ 8x, Phường Quy Nhơn Hà Thanh Đống Đa, Dt:","3,8 tỷ",40 m²,4x10m,,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-nha-3-me-mat-tien-gia-3-ty-xxz-phuong-quy-nhon-ha-thanh-dong-da-dt--18086046.html
Đất thổ cư/đất ở,Bán đất khu dân cư núi mồ côi - Nhơn phú,"2,37 tỷ",83 m²,5x18m,,,,,,Thành phố Quy Nhơn,Đường Tây Sơn,https://alonhadat.com.vn/ban-dat-khu-dan-cu-nui-mo-coi-nhon-phu-18452518.html
Căn hộ chung cư,"Bán Căn Hộ Phú Tài Residence (Phú Tài 1) 1,9 Tỷ - 2PN - Full nội thất Cao cấp - View Biển","1,9 tỷ",65 m²,,,30 tầng,2 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường Lê Đức Thọ,https://alonhadat.com.vn/ban-can-ho-phu-tai-residence-ho-sinh-thai-1-8-ty-full-noi-that-cao-cap-12384251.html
"Biệt thự, nhà liền kề",Bai A Retreat khu đô thị nghĩ dưỡng khoáng nóng tự nhiên  80 độ C tiên phong độc bản,4 tỷ,120 m²,6x20m,,3 tầng,5 PN,,,Huyện Phù Cát,Đường Lê Hoàn,https://alonhadat.com.vn/bai-a-retreat-khu-do-thi-nghi-duong-khoang-nong-tu-nhien-80-do-c-tien-phong-doc-ban-16946017.html
Đất nền/liền kề/đất dự án,"Bán đất nền cát tiến, huyện phù cát, tỉnh bình định. Giá tốt nhất.",20 triệu,100 m²,5x20m,Bắc,,,,,Huyện Phù Cát,Đường Quốc Lộ 19B,https://alonhadat.com.vn/ban-dat-nen-cat-tien-huyen-phu-cat-tinh-binh-dinh-gia-tot-nhat--13898019.html
Nhà trong hẻm,"Bán Nhà 3 Mê Lê Hồng Phong Quy Nhơn, 3ty xxz  +Dt: 45m² , Ngang 7m, hẻm cạn Rộng 4,5m","3,69 tỷ",45 m²,,,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Lê Hồng Phong,https://alonhadat.com.vn/ban-nha-3-me-siu-dep-mat-tien-ha-thanh-dong-da-phuong-quy-nhon-54-3m-gan-dong-gia-vien-18200396.html
"Biệt thự, nhà liền kề",🏡 Bán nhà 3 mê view sông Đại Phú Gia – Quy Nhơn Đông,"5,35 tỷ",80 m²,5x16m,Tây,3 tầng,4 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường số 1,https://alonhadat.com.vn/-ban-nha-3-me-view-song-dai-phu-gia-quy-nhon-dong-18407791.html
Đất nền/liền kề/đất dự án,"🏘Bán đất Dt 108m2 trung ái,Phường Nhơn hòa, tx An Nhơn, Bình Định",950 triệu,108 m²,6x18m,Nam,,,,,Thị xã An Nhơn,đường nhựa 🌷Gần khu CN Nhơn hòa,https://alonhadat.com.vn/-ban-dat-dt-108m2-trung-ai-phuong-nhon-hoa-tx-an-nhon-binh-dinh-18320540.html
Căn hộ chung cư,"Bán Căn Hộ chung cư Thịnh Phát 1.55 Tỷ , tầng 10, View Biển . 60m2- Sổ Hồng lâu dài","1,55 tỷ",60 m²,,,10 tầng,2 PN,1 WC,Sổ hồng,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/ban-can-ho-chung-cu-thinh-phat-1-35-ty-tang-10-view-bien-60m2-so-hong-lau-dai-15020522.html
Căn hộ chung cư,CHUYỂN NHƯỢNG CĂN HỘ PHÚ TÀI CENTRAL LIFE,"1,25 tỷ",35 m²,,Tây,3 tầng,1 PN,,,Thành phố Quy Nhơn,đường Lý Thái Tổ,https://alonhadat.com.vn/chuyen-nhuong-can-ho-phu-tai-central-life-17922928.html
Nhà mặt tiền,"Bán Nhà 3 Tầng Mặt Tiền Hà Thanh 2 Quy Nhơn, 42,75m2 , Giá 3 Tỷ 9xz +Dt: 42,75m2 , Ngang 4","3,95 tỷ",43 m²,"4,5x10m",Đông,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-nha-3-tang-mat-tien-ha-thanh-2-quy-nhon-42-75m2-gia-3-ty-9xz-dt-42-75m2-ngang-4-18709360.html
Đất thổ cư/đất ở,"Bán đất thị trấn cát tiến, huyện phù cát, tỉnh bình định.","1,95 tỷ",90 m²,5x18m,Đông,4 tầng,5 PN,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-thi-tran-cat-tien-huyen-phu-cat-tinh-binh-dinh--14937363.html
Nhà mặt tiền,Bán nhà 5 tầng mặt tiền đường Võ Mười 114m2,"12,5 tỷ",114 m²,6x19m,Tây,5 tầng,5 PN,,,Thành phố Quy Nhơn,đường Võ Mười 114m2 Hôm nay  🌺BÁN NHÀ 4 MÊ MẶT TIỀN ĐƯỜNG VÕ MƯỜI-TP QUY NHƠN 🌺Vị trí Trung tâm Tp,https://alonhadat.com.vn/ban-dat-3-mat-tien-duong-nguyen-hoang-view-song-ha-thanh-177m2-11574017.html
Đất thổ cư/đất ở,"Bán lô đất  diện tích 200m2- Khu đồn Công An, Xã Đề Gi. Giá chỉ 850 triệu.",850 triệu,200 m²,8x25m,Tây,,,,,Huyện Phù Cát,Đường Tỉnh lộ 639,https://alonhadat.com.vn/ban-lo-dat-dien-tich-200m2-khu-don-cong-an-xa-de-gi-gia-chi-850-trieu--18554681.html
Đất nền/liền kề/đất dự án,"CHÍNH CHỦ BÁN ĐẤT ĐƯỜNG DS8, P. TRẦN QUANG DIỆU. QUY NHƠN, BÌNH ĐỊNH.GIÁ 1 TỶ 680TR","1,68 tỷ",100 m²,,,,,,,Thành phố Quy Nhơn,ĐƯỜNG DS8,https://alonhadat.com.vn/chinh-chu-ban-dat-duong-ds8-p-tran-quang-dieu-quy-nhon-binh-dinh-gia-1-ty-680tr-18573869.html
"Biệt thự, nhà liền kề",Đất nền khu Biệt Thự Đại Phú Gia - Quy Nhơn,50 triệu,509 m²,"18,2x28,1m",,,,,,Thành phố Quy Nhơn,Đường Võ Nguyên Giáp,https://alonhadat.com.vn/dat-nen-khu-biet-thu-dai-phu-gia-quy-nhon-14516913.html
Nhà mặt tiền,🔥 BÁN NHÀ 3 TẦNG MT NGUYỄN HUY TƯỞNG – TRUNG TÂM TP 🔥,"8,9 tỷ",80 m²,5x16m,Bắc,3 tầng,4 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Huy Tưởng,https://alonhadat.com.vn/-ban-nha-mat-tien-le-duan-trung-tam-tp-quy-nhon-18265665.html
Đất nền/liền kề/đất dự án,MỞ BÁN SIÊU DỰ ÁN TRUNG TÂM THỊ XÃ AN NHƠN !,2 tỷ,100 m²,5x20m,Tây,,,,,Thị xã An Nhơn,đường huyết mạch của thị xã ( Q......  << Xem chi tiết >>   14m                                           Giá: 2 tỷ                                              Diện tích: 100 m² KT: 5x20mHướng: Tây Nam     Đường Lê Hồng Phong,https://alonhadat.com.vn/mo-ban-sieu-du-an-trung-tam-thi-xa-an-nhon--10842779.html
"Biệt thự, nhà liền kề",Đất ven sông Hà Thanh - Chỉ cần chuẩn bị trước 1/3 giá trị đất - HTLS 0%,"1,79 tỷ",80 m²,5x16m,Đông,4 tầng,4 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/dat-ven-song-ha-thanh-chi-can-chuan-bi-truoc-1-3-gia-tri-dat-htls-0--18497781.html
Căn hộ chung cư,BÁN NHANH CĂN ECOLIFE 2PN FULL NỘI THẤT,"1,5 tỷ",64 m²,6x10m,Đông,28 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Điện Biên Phủ,https://alonhadat.com.vn/ban-nhanh-can-ecolife-quy-nhon-gia-re-14864786.html
Đất thổ cư/đất ở,Bán lô đất mặt tiền - Lê Văn Thủ - Nhơn Bình,"2,65 tỷ",90 m²,5x18m,,,,,,Thành phố Quy Nhơn,đường Lê Văn Thủ - Phường Nhơn Bình - Quy Nhơn - diện tích 90 m2,https://alonhadat.com.vn/ban-lo-dat-mat-tien-le-van-thu-nhon-binh-18472920.html
Nhà mặt tiền,🏡 BÁN NHÀ MẶT TIỀN ĐƯỜNG BIÊN CƯƠNG – PHƯỜNG QUY NHƠN NAM,"19,5 tỷ",195 m²,"6x32,45m",Đông,,2 PN,,,Thành phố Quy Nhơn,ĐƯỜNG BIÊN CƯƠNG – PHƯỜNG QUY NHƠN NAM Hôm nay  🏡 BÁN NHÀ MẶT TIỀN ĐƯỜNG BIÊN CƯƠNG – PHƯỜNG QUY NHƠN NAM  ✨ Thông tin chi tiết: • 📍 Vị trí: Trung tâm,https://alonhadat.com.vn/can-ban-lo-dat-biet-thu-duong-luu-huu-phuoc-doi-dien-cc-phu-tai-reverside-dt-400m2-8943447.html
Nhà trong hẻm,🏠 Chủ nhà chuyển ra mặt tiền nên cần bán lại. Nhà Hẻm Ô Tô Tô Hiến Thành – DT 88m² – Giá,"5,2 tỷ",88 m²,,,2 tầng,4 PN,,,Thành phố Quy Nhơn,đường Tô Hiến Thành,https://alonhadat.com.vn/-chu-nha-chuyen-ra-mat-tien-nen-can-ban-lai-nha-hem-o-to-to-hien-thanh-dt-88m-gia-18283062.html
Nhà trong hẻm,⛔NHÀ 3 TẦNG HẺM CẠN NGUYỄN THÁI HỌC -GẦN BIỂN GẦN SIÊU THỊ GO - 45M2 - ⛔ 3 TỶ XXX TRIỆU,"3,65 tỷ",45M²,5x9m,,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/-nha-3-tang-hem-can-nguyen-thai-hoc-gan-bien-gan-sieu-thi-go-45m2-3-ty-xxx-trieu-18418190.html
Đất nền/liền kề/đất dự án,"🏡Bán đất dt 100m2 khu dân cư vĩnh liêm,P Bình Định, tx An Nhơn ,Bình Định","1,88 tỷ",100 m²,5x20m,Tây,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/-ban-dat-dt-100m2-khu-dan-cu-vinh-liem-p-binh-dinh-tx-an-nhon-binh-dinh-17073787.html
Nhà trong hẻm,"Bán 2 căn nhà đường nội bộ Trần Phú , khu trung tâm - DT 80m2 và 90m2","5,5 tỷ",80 m²,4x22m,Tây,2 tầng,4 PN,,,Thành phố Quy Nhơn,đường nội bộ Trần Phú,https://alonhadat.com.vn/-ban-nha-3-me-duong-noi-bo-tran-phu-doi-dien-truong-quoc-hoc-18311473.html
Đất nền/liền kề/đất dự án,Bán dự án chung cư xã hội phường Quy Nhơn Bắc 6000m2,90 tỷ,6000 m²,40x150m,Đông,,,,,Thành phố Quy Nhơn,Đường Hùng Vương,https://alonhadat.com.vn/ban-dat-mat-tien-duong-dang-chat-gan-cau-doi-72m2-16489285.html
Nhà mặt tiền,🏠 BÁN NHÀ GÓC 2 MẶT TIỀN NGUYỄN TRUNG TRỰC – TRUNG TÂM QUY NHƠN,"10,5 tỷ",90 m²,6x18m,,1 tầng,3 PN,,,Thành phố Quy Nhơn,đường Đào Doãn Địch,https://alonhadat.com.vn/-ban-nha-goc-2-mat-tien-nguyen-trung-truc-trung-tam-quy-nhon-18262496.html
"Biệt thự, nhà liền kề",BÁN NHÀ 3 TẦNG – KHU ĐẠI PHÚ GIA - #C301,"7,3 tỷ",100m²,5x20m,,3 tầng,5 PN,,Sổ đỏ,Thành phố Quy Nhơn,Đường số 1  ✨ Nhà mới đẹp,https://alonhadat.com.vn/ban-nha-3-tang-khu-dai-phu-gia-c301-17833539.html
Đất nền/liền kề/đất dự án,Bán đất mặt tiền đường Nguyễn Diêu,"2,9 tỷ","87,5m²",5x17m,Tây,,,,,Thành phố Quy Nhơn,đường Nguyễn Diêu Hôm nay  👉👉 Lô 1: Bán lô đất mặt tiền đường Nguyễn Diêu Dt: 85m2 ngang 5m Tấy Bắc Giá bán: 2 tỷ 9 👉👉 Lô 2: BÁN 2 LÔ LIỀN KỀ MẶT TIỀN NGUYỄN DIÊU – CHỢ DINH  Vị trí : đối diện Mạnh Hùng 📐 Diện tích: 87,https://alonhadat.com.vn/ban-lo-dat-goc-2-mat-tien-duong-nguyen-dieu-177m2-16815301.html
Đất nền/liền kề/đất dự án,DỰ ÁN ĐẤT NỀN MẶT TIỀN QUỐC LỘ 1A - TRUNG TÂM PHƯỜNG ĐẬP ĐÁ — THỊ XÃ AN NHƠN !,"1,6 tỷ",108 m²,6x18m,Đông,,,,Sổ hồng,Thị xã An Nhơn,,https://alonhadat.com.vn/ban-dat-phuong-dap-da-thi-xa-an-nhon--9278176.html
Đất thổ cư/đất ở,"Bán đất ven biển cát hải. Diện tích 200m2.  Giá chỉ 5,5 triệu/m2. Lộ giới 14m. Rẻ nhất khu","5,5 triệu",200 m²,10x20m,Nam,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-ven-bien-cat-hai-dien-tich-200m2-gia-chi-5-5-trieu-m2-lo-gioi-14m-re-nhat-khu-14368379.html
Đất nền/liền kề/đất dự án,"Cần bán lô đất ven biển xã cát hải, huyện phù cát. Giá mềm cho đầu tư","1,2 tỷ",160 m²,8x20m,Đông,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/can-ban-lo-dat-ven-bien-xa-cat-hai-huyen-phu-cat-gia-mem-cho-dau-tu-13612619.html
Nhà mặt tiền,"Bán căn nhà cấp 4,  mặt tiền đường huỳnh thúc kháng, phường thị nại, quy nhơn.  Giá rẻ",6 tỷ,80 m²,4x20m,,1 tầng,2 PN,,,Thành phố Quy Nhơn,đường huỳnh thúc kháng,https://alonhadat.com.vn/ban-can-nha-cap-4-mat-tien-duong-huynh-thuc-khang-phuong-thi-nai-quy-nhon-gia-re-18282402.html
Đất thổ cư/đất ở,MỞ BÁN LÔ ĐẤT GÓC 2 MẶT TIỀN ĐƯỜNG HOÀNG MINH GIÁM. TRỤC ĐƯỜNG VIP NHẤT KHU ĐÔ THỊ B3 APT,"5,5 tỷ",116 m²,6x20m,,,,,,Thành phố Quy Nhơn,ĐƯỜNG HOÀNG MINH GIÁM. TRỤC ĐƯỜNG VIP NHẤT KHU ĐÔ THỊ B3 APT Hôm nay  Cần bán lô đất góc 2 mặt tiền đường HOÀNG MINH GIÁM,https://alonhadat.com.vn/mo-ban-lo-dat-goc-2-mat-tien-duong-hoang-minh-giam-truc-duong-vip-nhat-khu-do-thi-b3-apt-16215140.html
"Biệt thự, nhà liền kề",Bán nhiều lô Đất khu biệt Thự Đại Phú Gia - 225m2. Đơn giá 45 -50tr/m2 tùy vị trí - Sổ Sẵn,13 tỷ,250 m²,,,4 tầng,5 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-can-ho-altara-quy-nhon-2pn-2-ty-can-goc-70m2-so-hong-lau-dai-ho-tro-vay-70--15474849.html
Nhà mặt tiền,"(NGON RẺ) Bán Nhà 3 Mê Mặt Tiền Phường Quy Nhơn, 41m2 ngang4,7m, Giá Chỉ 3ty xxz, Hà Thanh","3,8 tỷ",41 m²,,,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-nha-2-tang-moi-hem-rong-nguyen-thai-hoc-quy-nhon-57m2-gia-chi-3-ty-xxz-gan-bien--18203588.html
Nhà trong hẻm,Bán nhà 3 tầng 1 lững hẻm nội bộ 5m đg hai bà trưng dt 44m2 giá 6ty,6 tỷ,44 m²,"3,95x11m",Đông,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,Đường Hai Bà Trưng,https://alonhadat.com.vn/ban-nha-3-tang-1-lung-hem-noi-bo-5m-dg-hai-ba-trung-dt-44m2-gia-6ty-18223059.html
Nhà mặt tiền,"Bán nhà mặt tiền đường Đô Đốc Bảo 111m2 , 82m2 và 177m2",15 tỷ,111 m²,4x28m,Tây,4 tầng,4 PN,,,Thành phố Quy Nhơn,đường Đô Đốc Bảo 111m2,https://alonhadat.com.vn/ban-nha-mat-tien-duong-tran-hung-dao-177m2-va-190m2-12977576.html
Đất thổ cư/đất ở,Bán 2 lô liền kề - Đất Biển Nhơn Lý Quy Nhơn,"4,6 tỷ",180 m²,12x16m,,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-2-lo-lien-ke-dat-bien-nhon-ly-quy-nhon-18490003.html
Nhà trong hẻm,Bán nhà nội bộ ô tô đường Trần Văn Ơn 111m2 và góc 2 mặt tiền 120m2,"8,6 tỷ",111 m²,"4,2x26,5m",Đông,,5 PN,,,Thành phố Quy Nhơn,đường Trần Văn Ơn 111m2 và góc 2 mặt tiền 120m2 Hôm nay  👉👉 Bán nhà đường nội bộ 7m Trần Văn Ơn Dt:Ngang 4.2,https://alonhadat.com.vn/ban-dat-goc-2-mat-tien-duong-nguyen-van-hien-gan-duong-chuong-duong-ke-ben-khach-san-anya-8599191.html
Đất thổ cư/đất ở,"Bán đất mặt tiền đường hoàng sa, thị trấn cát tiến. Huyện phù cát, tỉnh bình định.","4,4 tỷ",160 m²,8x20m,Đông,,,,,Huyện Phù Cát,đường hoàng sa,https://alonhadat.com.vn/ban-dat-mat-tien-duong-hoang-sa-thi-tran-cat-tien-huyen-phu-cat-tinh-binh-dinh--14836337.html
Nhà mặt tiền,"CHÍNH CHỦ Bán Nhà Mặt Tiền Phường Quy Nhơn 62m² Chỉ 3ty xyz, lộ giới 14m VIEW CÔNG VIÊN","3,75 tỷ",62 m²,4x13m,,2 tầng,2 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-dat-mat-tien-gan-bien-quy-nhon-50m-ngang-dep-5m-lo-gioi-12m-oto-thong-thoag-nhin-3ty-18258453.html
Căn hộ chung cư,Cần bán căn hộ thương mại  ECO LIFE 940tr - Sổ lâu dài .. Hỗ trợ Vay 70%,940 triệu,41 m²,,,16 tầng,5 PN,1 WC,Sổ hồng,Thành phố Quy Nhơn,đường Điện Biên Phủ  Kết cấu : -- 1,https://alonhadat.com.vn/can-ban-can-ho-thuong-mai-eco-life-1-2-ty-60m2-so-lau-dai-12259744.html
Nhà mặt tiền,"Bán nhà mặt tiền đường Nguyễn Lữ 37m2 , 85m2,114m2 và 182m2","9,3 tỷ",85 m²,"4,9x17,3m",Tây,4 tầng,1 PN,,,Thành phố Quy Nhơn,đường Nguyễn Lữ 37m2,https://alonhadat.com.vn/ban-nha-mat-tien-duong-nguyen-thi-50m2-14008024.html
Nhà trong hẻm,Bán nhà 3 tầng hẻm nội bộ ô tô Hai Bà Trưng 44m2,"5,599 tỷ",44 m²,4x11m,Đông,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,Đường Hai Bà Trưng,https://alonhadat.com.vn/ban-lo-dat-goc-2-mat-tien-xa-nhon-hai-90m2-16928747.html
Nhà mặt tiền,Bán nhà mặt tiền đường Phạm Cự Lượng 46m2,"3,579 tỷ",46 m²,3x14m,Đông,3 tầng,3 PN,,,Thành phố Quy Nhơn,đường Phạm Cự Lượng 46m2 Hôm nay  Bán nhà 3 tầng mặt tiền đường Phạm Cự Lượng gần chợ Hoa Lư Nhà xây hiện đại,https://alonhadat.com.vn/ban-lo-dat-mat-tien-duong-hoang-van-thai-75m2-ngang-5m-huong-dong-nam-8825979.html
Đất nền/liền kề/đất dự án,"Bán 5 lô đất khu Biệt Thự Đại Phú Gia , vị trí đắc địa - DT 351m2 , 400m2 , 421m2 , 510m2",24 tỷ,509 m²,21x22m,,,,,,Thành phố Quy Nhơn,Đường số 1,https://alonhadat.com.vn/-ban-lo-dat-goc-2-mat-tien-khu-biet-thu-dai-phu-gia-vi-tri-dang-cap--18445204.html
Căn hộ chung cư,"Mở bán những căn hộ cuối cùng của một trong những dự án đẹp ở Quy Nhơn - 2Pn-2W chỉ 1,4 tỷ","1,4 tỷ",65 m²,,,20 tầng,2 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường Điện Biên Phủ,https://alonhadat.com.vn/mo-ban-nhung-can-ho-cuoi-cung-cua-mot-trong-nhung-du-an-dep-o-quy-nhon-2pn-2w-chi-1-4-ty-18354284.html
"Biệt thự, nhà liền kề","Nhà phố khu đô thị Bắc Hà Thanh Riverside, mặt tiền đường QL19, giáp sông",3 tỷ,80 m²,,,2 tầng,5 PN,,,Huyện Tuy Phước,đường QL19,https://alonhadat.com.vn/nha-pho-khu-do-thi-bac-ha-thanh-riverside-mat-tien-duong-ql19-giap-song-15693630.html
Đất thổ cư/đất ở,"Bán đất thôn ngãi an, xã cát khánh, huyện phù cát, tỉnh bình định",700 triệu,140 m²,7x20m,Đông,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-xa-cat-khanh-huyen-phu-cat-tinh-binh-dinh-14850472.html
Nhà mặt tiền,Bán nhà 3 mê mặt tiền đường Trần Anh Tông - DT 108m2 ngang 7m - Giá 13tỷ,13 tỷ,108m²,"7x19,2m",Tây,3 tầng,5 PN,,,Thành phố Quy Nhơn,đường Trần Anh Tông - DT 108m2 ngang 7m - Giá 13tỷ Hôm nay  🔥 NHÀ 3 MÊ MẶT TIỀN TRẦN ANH TÔNG – NGANG 7M HIẾM 🔥  📍 Vị trí: Đường Trần Anh Tông – khu trung tâm,https://alonhadat.com.vn/-ban-lo-dat-2-mat-tien-truoc-sau-duong-che-lan-vien-18291542.html
Đất nền/liền kề/đất dự án,🏡 BÁN 3 LÔ MẶT TIỀN HUỲNH TỊNH CỦA – KHU CẦU LÊ THANH NGHỊ 🏡,"3,25 tỷ",80 m²,4x20m,Tây,,,,,Thành phố Quy Nhơn,Đường rộng 14m – ô tô lưu thông thoải mái ➡️ Thích hợp xây ở,https://alonhadat.com.vn/-ban-3-lo-mat-tien-huynh-tinh-cua-khu-cau-le-thanh-nghi--18498168.html
"Biệt thự, nhà liền kề","BÁN NHÀ KHU ĐÔ THỊ AN PHƯỚC, QUY NHƠN. CÁCH BIỂN 1KM",7 tỷ,85 m²,,,4 tầng,5 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường 14m Ô tô đâu thoải mái Có công viên Sổ hồng đầy đủ Giá bán 7 tỷ Li......  << Xem chi tiết >>   14m4 tầng5 phòng ngủ                                           Giá: 7 tỷ                                              Diện tích: 85 m²      Đường Phạm Hổ,https://alonhadat.com.vn/ban-nha-khu-do-thi-an-phuoc-quy-nhon-cach-bien-1km-16857311.html
Đất nền/liền kề/đất dự án,Bán đất B1 và B3 khu đô thị mới An Phú Thịnh đối diện chung cư cũng như Đại Học FPT,"4,1 tỷ",109 m²,"5x21,8m",,,,,,Thành phố Quy Nhơn,đường Yongsan ngay vòng xoay Dt: 109m2 ngang 5m Giá: 4,https://alonhadat.com.vn/ban-dat-khu-b3-do-thi-moi-an-phu-thinh-dien-tich-120m2-8077776.html
Đất thổ cư/đất ở,"Bán đất ven biển thôn tân thắng, xã cát hải, huyện phù cát, tỉnh bình định.",970 triệu,160 m²,8x20m,Bắc,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-ven-bien-thon-tan-thang-xa-cat-hai-huyen-phu-cat-tinh-binh-dinh--14833615.html
"Biệt thự, nhà liền kề",Bán hoặc cho thuê Villa Khu Biệt Thự Đại Phú Gia Tp Quy Nhơn,"26,5 tỷ",430 m²,20x23m,Đông,3 tầng,6 PN,,,Thành phố Quy Nhơn,Đường số 7,https://alonhadat.com.vn/ban-hoac-cho-thue-villa-khu-biet-thu-dai-phu-gia-tp-quy-nhon-18567351.html
Nhà mặt tiền,"Bán 3 căn nhà mặt tiền đường Phan Đình Phùng , view hồ Đống Đa - DT 80m2 , 96m2 , 100m2","8,6 tỷ",80 m²,4x20m,Đông,,1 PN,,,Thành phố Quy Nhơn,đường Phan Đình Phùng,https://alonhadat.com.vn/-ban-nha-cap-4-mat-tien-phan-dinh-phung-view-truc-dien-ho-sinh-thai-dong-da-18295014.html
Đất thổ cư/đất ở,"Bán đất Khu dân cư Tân Thanh, ven biển xã Cát Tiến. Dt 200m2. Giá tốt nhất thị trường.","1,25 tỷ",200 m²,8x25m,,,,,,Huyện Phù Cát,Đường Hoàng Sa,https://alonhadat.com.vn/ban-dat-khu-dan-cu-tan-thanh-ven-bien-xa-cat-tien-dt-200m2-gia-tot-nhat-thi-truong--18077435.html
Đất thổ cư/đất ở,"Bán nhanh lô đất biển diện tích 200m2 ở thôn Tân Thanh, xã Cát Tiến giá chỉ 1 tỷ 230 triệu","1,23 tỷ",200 m²,8x25m,,,,,,Huyện Phù Cát,đường ĐT 639,https://alonhadat.com.vn/ban-dat-khu-tdc-tan-thanh-xa-cat-tien-tinh-gia-lai-dien-tich-200m2-gia-chi-1-25-ti--18550880.html
Nhà mặt tiền,🏖️ CẦN BÁN NHÀ MẶT TIỀN BIỂN XUÂN DIỆU – NGAY QUẢNG TRƯỜNG TRUNG TÂM,"22,7 tỷ",76 m²,5x12m,Đông,2 tầng,2 PN,,,Thành phố Quy Nhơn,đường Xuân Diệu – ngay cạnh quảng trường biển,https://alonhadat.com.vn/-can-ban-nha-mat-tien-bien-xuan-dieu-ngay-quang-truong-trung-tam-18243563.html
Nhà mặt tiền,Bán nhà mặt tiền đường Trần Hưng Đạo phường Hải Cảng,"5,3 tỷ",62 m²,"3,6x17,2m",Tây,1 tầng,3 PN,,,Thành phố Quy Nhơn,đường Trần Hưng Đạo phường Hải Cảng Hôm nay  👉👉 Căn 1: Bán nhà gần biển 22 Trần hưng Đạo Quy nhơn.Dt thực 33 m2,https://alonhadat.com.vn/ban-nha-2-me-ruoi-khu-cau-2-ha-thanh-gan-cau-huynh-tan-phat-56m2-8349905.html
Đất thổ cư/đất ở,"Bán đất thôn vĩnh hội, xã cát hải, huyện phù cát, tỉnh bình định","4,4 tỷ",220 m²,10x22m,Bắc,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-thon-vinh-hoi-xa-cat-hai-huyen-phu-cat-tinh-binh-dinh-15073521.html
Đất nền/liền kề/đất dự án,"✅Bán đất dt 100m2 khu C Ngãi chánh 4 ,Nhơn Hậu,tx An Nhơn, Bình Định","1,2 tỷ",100 m²,5x20m,Tây,,,,,Thị xã An Nhơn,đường chợ mới an nhơn ra sân bay phù cát,https://alonhadat.com.vn/-ban-dat-dt-100m2-khu-c-ngai-chanh-4-nhon-hau-tx-an-nhon-binh-dinh-18085855.html
Căn hộ chung cư,"Bán căn hộ chung cư altara quy nhơn, loại 2 phòng ngủ. Giá 1,75 tỉ","1,75 tỷ",60 m²,4x15m,Tây,7 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/ban-can-ho-chung-cu-altara-quy-nhon-loai-2-phong-ngu-gia-1-8-ti-13786750.html
Đất thổ cư/đất ở,🏡 CHÍNH CHỦ CẦN BÁN LÔ ĐẤT BIỆT THỰ VIP TẠI KHU BIỆT THỰ ĐẠI PHÚ GIA – QUY NHƠN 🌟,45 triệu,216m²,"9,6x22,5m",Tây,,,,Sổ đỏ,Thành phố Quy Nhơn,đường số 2 nằm trên trục đường VIP  💎 Vị trí đẳng cấp – khu biệt th......  << Xem chi tiết >>                                              Giá: 45 triệu / m²                                               Diện tích: 216 m² KT: 9,https://alonhadat.com.vn/-chinh-chu-can-ban-lo-dat-biet-thu-vip-tai-khu-biet-thu-dai-phu-gia-quy-nhon--18631951.html
